id,category,event_type,level,title,username,user_name,user_role,user_source,ip_address,user_agent,request_method,request_path,status_code,duration_ms,question,thinking_process,sql_text,answer_text,confidence,error_message,details,created_at
1,error,http_error,warning,接口不存在,,,,,192.168.65.1,curl/8.7.1,POST,/api/datapulse/ask,404,0.0,,[],,,{},API not found,"{'endpoint': '', 'code_hint': 'backend/app.py 的 register_blueprint；对应 controllers/*.py 路由。', 'event_name': '接口不存在', 'request_args': {}, 'what_happened': '前端访问了后端没有注册的 API。', 'suggested_action': '确认后端已重启并加载最新代码；核对 frontend/src/api/index.js 中的路径和 backend/app.py 蓝图注册。'}",2026-08-21 09:03:37.502972+00:00
2,error,http_error,warning,接口不存在,,,,,192.168.65.1,curl/8.7.1,POST,/api/datapulse/ask,404,0.0,,[],,,{},API not found,"{'endpoint': '', 'code_hint': 'backend/app.py 的 register_blueprint；对应 controllers/*.py 路由。', 'event_name': '接口不存在', 'request_args': {}, 'what_happened': '前端访问了后端没有注册的 API。', 'suggested_action': '确认后端已重启并加载最新代码；核对 frontend/src/api/index.js 中的路径和 backend/app.py 蓝图注册。'}",2026-08-21 09:03:40.669755+00:00
3,error,smart_chat_rejected,warning,智能问数权限不足,,,,,192.168.65.1,curl/8.7.1,POST,/api/smart-chat,403,0.0,商用事业群的业绩,[],,,{},当前账号没有发送智能问数的权限。,"{'code_hint': 'backend/controllers/smart_chat.py；backend/four_agent_ask.py；frontend/src/views/DataPulse.vue。', 'event_name': '智能问数权限不足', 'feature_key': 'smart_send_question', 'what_happened': '当前账号没有发送智能问数的权限。', 'suggested_action': '检查问题内容、功能权限、数据集权限或确认会话是否过期。'}",2026-08-21 09:04:18.762057+00:00
4,access,api_access,info,GET /api/smart-chat/report-history,admin,超级管理员,super_admin,admin,192.168.65.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",GET,/api/smart-chat/report-history?limit=50,200,210.0,,[],,,{},,"{'endpoint': 'smart_chat.get_report_history', 'code_hint': '', 'event_name': '接口访问', 'request_args': {'limit': '50'}, 'what_happened': '接口请求黄维桢。', 'suggested_action': ''}",2026-08-21 09:04:33.721828+00:00
5,access,api_access,info,GET /api/bookshelves/datasets,admin,超级管理员,super_admin,admin,192.168.65.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",GET,/api/bookshelves/datasets,200,101.0,,[],,,{},,"{'endpoint': 'bookshelf.list_bookshelf_datasets', 'code_hint': '', 'event_name': '接口访问', 'request_args': {}, 'what_happened': '接口请求黄维桢。', 'suggested_action': ''}",2026-08-21 09:04:33.722609+00:00
6,access,api_access,info,GET /api/smart-chat/report-history,admin,超级管理员,super_admin,admin,192.168.65.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",GET,/api/smart-chat/report-history?limit=50,200,154.0,,[],,,{},,"{'endpoint': 'smart_chat.get_report_history', 'code_hint': '', 'event_name': '接口访问', 'request_args': {'limit': '50'}, 'what_happened': '接口请求黄维桢。', 'suggested_action': ''}",2026-08-21 09:04:33.892554+00:00
8,access,api_access,info,GET /api/bookshelves/datasets,admin,超级管理员,super_admin,admin,192.168.65.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",GET,/api/bookshelves/datasets,200,141.0,,[],,,{},,"{'endpoint': 'bookshelf.list_bookshelf_datasets', 'code_hint': '', 'event_name': '接口访问', 'request_args': {}, 'what_happened': '接口请求黄维桢。', 'suggested_action': ''}",2026-08-21 09:04:33.895538+00:00
7,access,api_access,info,GET /api/bookshelves/common-questions,admin,超级管理员,super_admin,admin,192.168.65.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",GET,/api/bookshelves/common-questions?random=1&limit=4&t=1787303073743,200,135.0,,[],,,{},,"{'endpoint': 'bookshelf.list_common_questions', 'code_hint': '', 'event_name': '接口访问', 'request_args': {'t': '1787303073743', 'limit': '4', 'random': '1'}, 'what_happened': '接口请求黄维桢。', 'suggested_action': ''}",2026-08-21 09:04:33.894791+00:00
9,access,api_access,info,GET /api/ai-models/active,admin,超级管理员,super_admin,admin,192.168.65.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",GET,/api/ai-models/active,200,1.0,,[],,,{},,"{'endpoint': 'ai_models.list_active_models', 'code_hint': '', 'event_name': '接口访问', 'request_args': {}, 'what_happened': '接口请求黄维桢。', 'suggested_action': ''}",2026-08-21 09:04:33.922274+00:00
10,access,api_access,info,GET /api/ai-models/active,admin,超级管理员,super_admin,admin,192.168.65.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",GET,/api/ai-models/active,200,0.0,,[],,,{},,"{'endpoint': 'ai_models.list_active_models', 'code_hint': '', 'event_name': '接口访问', 'request_args': {}, 'what_happened': '接口请求黄维桢。', 'suggested_action': ''}",2026-08-21 09:04:33.963408+00:00
