id,category,event_type,level,title,username,user_name,user_role,user_source,ip_address,user_agent,request_method,request_path,status_code,duration_ms,question,thinking_process,sql_text,answer_text,confidence,error_message,details,created_at
11,access,api_access,info,GET /api/smart-chat/report-history,admin,超级管理员,super_admin,admin,192.168.65.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",GET,/api/smart-chat/report-history?limit=50,200,97.0,,[],,,{},,"{'endpoint': 'smart_chat.get_report_history', 'code_hint': '', 'event_name': '接口访问', 'request_args': {'limit': '50'}, 'what_happened': '接口请求黄维桢。', 'suggested_action': ''}",2026-08-21 09:04:33.997811+00:00
12,access,api_access,info,POST /api/smart-chat/report-history,admin,超级管理员,super_admin,admin,192.168.65.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",POST,/api/smart-chat/report-history,200,223.0,,[],,,{},,"{'endpoint': 'smart_chat.save_report_history', 'code_hint': '', 'event_name': '接口访问', 'request_args': {}, 'what_happened': '接口请求黄维桢。', 'suggested_action': ''}",2026-08-21 09:04:34.278991+00:00
13,access,api_access,info,POST /api/smart-chat/report-history,admin,超级管理员,super_admin,admin,192.168.65.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",POST,/api/smart-chat/report-history,200,413.0,,[],,,{},,"{'endpoint': 'smart_chat.save_report_history', 'code_hint': '', 'event_name': '接口访问', 'request_args': {}, 'what_happened': '接口请求黄维桢。', 'suggested_action': ''}",2026-08-21 09:04:34.469677+00:00
14,access,api_access,info,POST /api/smart-chat/report-history,admin,超级管理员,super_admin,admin,192.168.65.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",POST,/api/smart-chat/report-history,200,609.0,,[],,,{},,"{'endpoint': 'smart_chat.save_report_history', 'code_hint': '', 'event_name': '接口访问', 'request_args': {}, 'what_happened': '接口请求黄维桢。', 'suggested_action': ''}",2026-08-21 09:04:34.697184+00:00
15,access,api_access,info,POST /api/smart-chat/report-history,admin,超级管理员,super_admin,admin,192.168.65.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",POST,/api/smart-chat/report-history,200,807.0,,[],,,{},,"{'endpoint': 'smart_chat.save_report_history', 'code_hint': '', 'event_name': '接口访问', 'request_args': {}, 'what_happened': '接口请求黄维桢。', 'suggested_action': ''}",2026-08-21 09:04:34.894452+00:00
16,access,api_access,info,POST /api/smart-chat/report-history,admin,超级管理员,super_admin,admin,192.168.65.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",POST,/api/smart-chat/report-history,200,1009.0,,[],,,{},,"{'endpoint': 'smart_chat.save_report_history', 'code_hint': '', 'event_name': '接口访问', 'request_args': {}, 'what_happened': '接口请求黄维桢。', 'suggested_action': ''}",2026-08-21 09:04:35.099971+00:00
17,access,api_access,info,POST /api/smart-chat/report-history,admin,超级管理员,super_admin,admin,192.168.65.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",POST,/api/smart-chat/report-history,200,1210.0,,[],,,{},,"{'endpoint': 'smart_chat.save_report_history', 'code_hint': '', 'event_name': '接口访问', 'request_args': {}, 'what_happened': '接口请求黄维桢。', 'suggested_action': ''}",2026-08-21 09:04:35.304514+00:00
18,access,api_access,info,POST /api/smart-chat/report-history,admin,超级管理员,super_admin,admin,192.168.65.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",POST,/api/smart-chat/report-history,200,1222.0,,[],,,{},,"{'endpoint': 'smart_chat.save_report_history', 'code_hint': '', 'event_name': '接口访问', 'request_args': {}, 'what_happened': '接口请求黄维桢。', 'suggested_action': ''}",2026-08-21 09:04:35.537834+00:00
19,access,api_access,info,POST /api/smart-chat/report-history,admin,超级管理员,super_admin,admin,192.168.65.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",POST,/api/smart-chat/report-history,200,1280.0,,[],,,{},,"{'endpoint': 'smart_chat.save_report_history', 'code_hint': '', 'event_name': '接口访问', 'request_args': {}, 'what_happened': '接口请求黄维桢。', 'suggested_action': ''}",2026-08-21 09:04:35.788186+00:00
20,access,api_access,info,POST /api/smart-chat/report-history,admin,超级管理员,super_admin,admin,192.168.65.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",POST,/api/smart-chat/report-history,200,1284.0,,[],,,{},,"{'endpoint': 'smart_chat.save_report_history', 'code_hint': '', 'event_name': '接口访问', 'request_args': {}, 'what_happened': '接口请求黄维桢。', 'suggested_action': ''}",2026-08-21 09:04:36.020513+00:00
21,access,api_access,info,POST /api/smart-chat/report-history,admin,超级管理员,super_admin,admin,192.168.65.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",POST,/api/smart-chat/report-history,200,1366.0,,[],,,{},,"{'endpoint': 'smart_chat.save_report_history', 'code_hint': '', 'event_name': '接口访问', 'request_args': {}, 'what_happened': '接口请求黄维桢。', 'suggested_action': ''}",2026-08-21 09:04:36.301225+00:00
22,access,api_access,info,POST /api/smart-chat/report-history,admin,超级管理员,super_admin,admin,192.168.65.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",POST,/api/smart-chat/report-history,200,1430.0,,[],,,{},,"{'endpoint': 'smart_chat.save_report_history', 'code_hint': '', 'event_name': '接口访问', 'request_args': {}, 'what_happened': '接口请求黄维桢。', 'suggested_action': ''}",2026-08-21 09:04:36.572419+00:00
23,access,api_access,info,POST /api/smart-chat/report-history,admin,超级管理员,super_admin,admin,192.168.65.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",POST,/api/smart-chat/report-history,200,1546.0,,[],,,{},,"{'endpoint': 'smart_chat.save_report_history', 'code_hint': '', 'event_name': '接口访问', 'request_args': {}, 'what_happened': '接口请求黄维桢。', 'suggested_action': ''}",2026-08-21 09:04:36.864582+00:00
24,access,api_access,info,POST /api/smart-chat/report-history,admin,超级管理员,super_admin,admin,192.168.65.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",POST,/api/smart-chat/report-history,200,1538.0,,[],,,{},,"{'endpoint': 'smart_chat.save_report_history', 'code_hint': '', 'event_name': '接口访问', 'request_args': {}, 'what_happened': '接口请求黄维桢。', 'suggested_action': ''}",2026-08-21 09:04:37.120685+00:00
25,access,api_access,info,POST /api/smart-chat/report-history,admin,超级管理员,super_admin,admin,192.168.65.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",POST,/api/smart-chat/report-history,200,1561.0,,[],,,{},,"{'endpoint': 'smart_chat.save_report_history', 'code_hint': '', 'event_name': '接口访问', 'request_args': {}, 'what_happened': '接口请求黄维桢。', 'suggested_action': ''}",2026-08-21 09:04:37.382435+00:00
26,access,api_access,info,POST /api/smart-chat/report-history,admin,超级管理员,super_admin,admin,192.168.65.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",POST,/api/smart-chat/report-history,200,1581.0,,[],,,{},,"{'endpoint': 'smart_chat.save_report_history', 'code_hint': '', 'event_name': '接口访问', 'request_args': {}, 'what_happened': '接口请求黄维桢。', 'suggested_action': ''}",2026-08-21 09:04:37.679262+00:00
27,access,api_access,info,GET /api/bookshelves/common-questions,admin,超级管理员,super_admin,admin,192.168.65.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",GET,/api/bookshelves/common-questions?random=1&limit=4&t=1787303076424,200,55.0,,[],,,{},,"{'endpoint': 'bookshelf.list_common_questions', 'code_hint': '', 'event_name': '接口访问', 'request_args': {'t': '1787303076424', 'limit': '4', 'random': '1'}, 'what_happened': '接口请求黄维桢。', 'suggested_action': ''}",2026-08-21 09:04:37.750424+00:00
28,access,api_access,info,POST /api/smart-chat/report-history,admin,超级管理员,super_admin,admin,192.168.65.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",POST,/api/smart-chat/report-history,200,1633.0,,[],,,{},,"{'endpoint': 'smart_chat.save_report_history', 'code_hint': '', 'event_name': '接口访问', 'request_args': {}, 'what_happened': '接口请求黄维桢。', 'suggested_action': ''}",2026-08-21 09:04:37.966288+00:00
29,access,api_access,info,POST /api/smart-chat/report-history,admin,超级管理员,super_admin,admin,192.168.65.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",POST,/api/smart-chat/report-history,200,1673.0,,[],,,{},,"{'endpoint': 'smart_chat.save_report_history', 'code_hint': '', 'event_name': '接口访问', 'request_args': {}, 'what_happened': '接口请求黄维桢。', 'suggested_action': ''}",2026-08-21 09:04:38.267989+00:00
30,access,api_access,info,POST /api/smart-chat/report-history,admin,超级管理员,super_admin,admin,192.168.65.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",POST,/api/smart-chat/report-history,200,1644.0,,[],,,{},,"{'endpoint': 'smart_chat.save_report_history', 'code_hint': '', 'event_name': '接口访问', 'request_args': {}, 'what_happened': '接口请求黄维桢。', 'suggested_action': ''}",2026-08-21 09:04:38.539471+00:00
31,access,api_access,info,POST /api/smart-chat/report-history,admin,超级管理员,super_admin,admin,192.168.65.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",POST,/api/smart-chat/report-history,200,1657.0,,[],,,{},,"{'endpoint': 'smart_chat.save_report_history', 'code_hint': '', 'event_name': '接口访问', 'request_args': {}, 'what_happened': '接口请求黄维桢。', 'suggested_action': ''}",2026-08-21 09:04:38.809177+00:00
32,access,api_access,info,POST /api/smart-chat/report-history,admin,超级管理员,super_admin,admin,192.168.65.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",POST,/api/smart-chat/report-history,200,1699.0,,[],,,{},,"{'endpoint': 'smart_chat.save_report_history', 'code_hint': '', 'event_name': '接口访问', 'request_args': {}, 'what_happened': '接口请求黄维桢。', 'suggested_action': ''}",2026-08-21 09:04:39.115333+00:00
33,access,api_access,info,GET /api/bookshelves/common-questions,admin,超级管理员,super_admin,admin,192.168.65.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",GET,/api/bookshelves/common-questions?random=1&limit=4&t=1787303079562,200,25.0,,[],,,{},,"{'endpoint': 'bookshelf.list_common_questions', 'code_hint': '', 'event_name': '接口访问', 'request_args': {'t': '1787303079562', 'limit': '4', 'random': '1'}, 'what_happened': '接口请求黄维桢。', 'suggested_action': ''}",2026-08-21 09:04:39.594890+00:00
34,access,api_access,info,GET /api/bookshelves/common-questions,admin,超级管理员,super_admin,admin,192.168.65.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",GET,/api/bookshelves/common-questions?random=1&limit=4&t=1787303080945,200,33.0,,[],,,{},,"{'endpoint': 'bookshelf.list_common_questions', 'code_hint': '', 'event_name': '接口访问', 'request_args': {'t': '1787303080945', 'limit': '4', 'random': '1'}, 'what_happened': '接口请求黄维桢。', 'suggested_action': ''}",2026-08-21 09:04:40.990221+00:00
35,auth,admin_login_success,info,超管登录黄维桢,admin,超级管理员,super_admin,admin,127.0.0.1,python-requests/2.34.2,POST,/api/auth/admin/login,200,,,[],,,{},,{'username': 'admin'},2026-08-21 09:04:42.622231+00:00
36,access,api_access,info,POST /api/auth/admin/login,admin,超级管理员,super_admin,admin,127.0.0.1,python-requests/2.34.2,POST,/api/auth/admin/login,200,4.0,,[],,,{},,"{'endpoint': 'auth.admin_login', 'code_hint': '', 'event_name': '接口访问', 'request_args': {}, 'what_happened': '接口请求黄维桢。', 'suggested_action': ''}",2026-08-21 09:04:42.625891+00:00
37,access,api_access,info,POST /api/smart-chat/stream,admin,超级管理员,super_admin,admin,192.168.65.1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36",POST,/api/smart-chat/stream,200,17.0,,[],,,{},,"{'endpoint': 'smart_chat.smart_chat_stream', 'code_hint': '', 'event_name': '接口访问', 'request_args': {}, 'what_happened': '接口请求黄维桢。', 'suggested_action': ''}",2026-08-21 09:04:43.824512+00:00
